"LI","LI","LI","LI","LI","LI","LI","LI","LI,FTF","LI","LI","LI","","LI","LI","","","NLD","","",""
"LA","LA","LA","LA","","LA","","","","","","","","","","","","","","",""
"","","","","LA,UIC,VTF","","","","","","","","","","","","","","","",""
"LI,FTF","LI,FTF","LA","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF","LI,FTF"
"FC,VTF,RCE","FC,VTF,RCE","LA","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","LA","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE"
"","","","","","","","LA","LA","","","","","","","","","","","",""
"","","LA","","","","","","","","","","","","","","","","","",""
"FC,VTF,RCE","FC,VTF,RCE","LA","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE","FC,VTF,RCE"
"LA","LA","LA","LA","LA","LA","LA","LA","LA","LA,VTF","LA","LA","LA","LA","LA","LA","LA","NLD","LA","LA","LA"
"FTF,RCE","LA","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE"
"","","","","","","","","","","","LA,FTF","","","","","","","","",""
"FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","LA,FTF","LA,FTF","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE"
"FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","LA,FTF","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE"
"FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","LA,FTF","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE"
"FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","LA,FTF","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE","FTF,RCE"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","NLD","","",""
"","","","","","","","","","","","","","","","","","NLD","","",""
"LA","ILC,VTF,RCE","LA","LA","LA","ILC,VTF,RCE","LA","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","LA","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE","ILC,VTF,RCE"
